costs,locs,techs,cost
monetary,Sudan,Bioenergy_Power_Plant,71990164.41732705
monetary,Sudan,CCGT_NG_SUDAN,224145114.59008795
monetary,Sudan,Diesel_Engine_SUDAN,312854.79452054796
monetary,Sudan,HFO_PP_SUDAN,507863355.2133581
monetary,Sudan,Hydro_Power_Plant_large1,1143123.287671233
monetary,Sudan,Hydro_Power_Plant_large2,17808657.53424658
monetary,Sudan,Hydro_Power_Plant_large3,74603835.61643837
monetary,Sudan,Hydro_Power_Plant_large4,19252602.73972603
monetary,Sudan,Hydro_Power_Plant_small1,13035.616438356166
monetary,Sudan,OCGT_NG_SUDAN,323330303.03690195
monetary,Sudan,PV_Sudan_MSR1,0.0
monetary,Sudan,PV_Sudan_MSR2,191042874.57503194
monetary,Sudan,PV_Sudan_MSR3,0.0
monetary,Sudan,PV_Sudan_MSR4,0.0
monetary,Sudan,PV_Sudan_MSR5,0.0
monetary,Sudan,Solar_PV1,93214.68493150687
monetary,Sudan,Solar_PV2,89885.58904109591
monetary,Sudan,Steam_turbine_NG_SUDAN,309567845.60601866
monetary,Sudan,Steam_turbine_petroleum_coke_SUDAN,26139913.924881984
co2,Sudan,Bioenergy_Power_Plant,131496970.34300254
co2,Sudan,CCGT_NG_SUDAN,4159848215.06605
co2,Sudan,Diesel_Engine_SUDAN,0.0
co2,Sudan,HFO_PP_SUDAN,924415826.4121813
co2,Sudan,Hydro_Power_Plant_large1,0.0
co2,Sudan,Hydro_Power_Plant_large2,0.0
co2,Sudan,Hydro_Power_Plant_large3,0.0
co2,Sudan,Hydro_Power_Plant_large4,0.0
co2,Sudan,Hydro_Power_Plant_small1,0.0
co2,Sudan,OCGT_NG_SUDAN,2974523580.615117
co2,Sudan,PV_Sudan_MSR1,0.0
co2,Sudan,PV_Sudan_MSR2,0.0
co2,Sudan,PV_Sudan_MSR3,0.0
co2,Sudan,PV_Sudan_MSR4,0.0
co2,Sudan,PV_Sudan_MSR5,0.0
co2,Sudan,Solar_PV1,0.0
co2,Sudan,Solar_PV2,0.0
co2,Sudan,Steam_turbine_NG_SUDAN,3690621810.144025
co2,Sudan,Steam_turbine_petroleum_coke_SUDAN,557531092.0563027
