costs,locs,techs,cost_depreciation_rate
monetary,Rwanda,Bioenergy_Power_Plant,0.11016807219002081
monetary,Rwanda,Diesel_Engine_RWANDA,0.1060792482526339
monetary,Rwanda,Gas_Engine_RWANDA,0.1060792482526339
monetary,Rwanda,Hydro_Power_Plant_large1,0.10085917404611996
monetary,Rwanda,Hydro_Power_Plant_large2,0.10085917404611996
monetary,Rwanda,Hydro_Power_Plant_large3,0.10085917404611996
monetary,Rwanda,Hydro_Power_Plant_large4,0.10085917404611996
monetary,Rwanda,Hydro_Power_Plant_large5,0.10085917404611996
monetary,Rwanda,Hydro_Power_Plant_large6,0.10085917404611996
monetary,Rwanda,Hydro_Power_Plant_small1,0.1060792482526339
monetary,Rwanda,Hydro_Power_Plant_small2,0.1060792482526339
monetary,Rwanda,Hydro_Power_Plant_small3,0.1060792482526339
monetary,Rwanda,PV_Rwanda_MSR1,0.11016807219002081
monetary,Rwanda,Solar_PV1,0.11016807219002081
monetary,Rwanda,Solar_PV2,0.11016807219002081
monetary,Rwanda,Solar_PV3,0.11016807219002081
monetary,Rwanda,Solar_PV4,0.11016807219002081
monetary,Rwanda,Solar_PV5,0.11016807219002081
monetary,Rwanda,Solar_PV6,0.11016807219002081
