techs,colors
132_kV,#00BFFF
220_kV,#00BFFF
400_kV,#00BFFF
500_kV,#00BFFF
Bioenergy_Power_Plant,#873600
CCGT_NG_EGYPT,#2980B9
CCGT_NG_LYBIA,#2980B9
CCGT_NG_SUDAN,#2980B9
CCGT_NG_TAN,#2980B9
Diesel_Engine_DJIBOUTI,#2980B9
Diesel_Engine_DRC,#2980B9
Diesel_Engine_ERITREA,#2980B9
Diesel_Engine_ETHIOPIA,#2980B9
Diesel_Engine_KENYA,#2980B9
Diesel_Engine_LYBIA,#2980B9
Diesel_Engine_RWANDA,#2980B9
Diesel_Engine_SOUTH_SUDAN,#2980B9
Diesel_Engine_SUDAN,#2980B9
Diesel_Engine_TAN,#2980B9
Diesel_Engine_UGANDA,#2980B9
Gas_Engine_BURUNDI,#2980B9
Gas_Engine_RWANDA,#2980B9
Gas_Engine_TANZANIA,#2980B9
Geothermal_Power_Plant,#2980B9
HFO_PP_KENYA,#2980B9
HFO_PP_LYBIA,#2980B9
HFO_PP_SUDAN,#2980B9
HFO_PP_TANZANIA,#2980B9
HFO_PP_UGANDA,#2980B9
Heavy_Fuel_Oil_Power_Plant,#2980B9
Hydro_Power_Plant_large1,#2980B9
Hydro_Power_Plant_large10,#2980B9
Hydro_Power_Plant_large11,#2980B9
Hydro_Power_Plant_large12,#2980B9
Hydro_Power_Plant_large13,#2980B9
Hydro_Power_Plant_large14,#2980B9
Hydro_Power_Plant_large15,#2980B9
Hydro_Power_Plant_large16,#2980B9
Hydro_Power_Plant_large17,#2980B9
Hydro_Power_Plant_large18,#2980B9
Hydro_Power_Plant_large19,#2980B9
Hydro_Power_Plant_large2,#2980B9
Hydro_Power_Plant_large20,#2980B9
Hydro_Power_Plant_large21,#2980B9
Hydro_Power_Plant_large3,#2980B9
Hydro_Power_Plant_large4,#2980B9
Hydro_Power_Plant_large5,#2980B9
Hydro_Power_Plant_large6,#2980B9
Hydro_Power_Plant_large7,#2980B9
Hydro_Power_Plant_large8,#2980B9
Hydro_Power_Plant_large9,#2980B9
Hydro_Power_Plant_small1,#2980B9
Hydro_Power_Plant_small2,#2980B9
Hydro_Power_Plant_small3,#2980B9
Hydro_Power_Plant_small4,#2980B9
Hydro_Power_Plant_small5,#2980B9
Hydro_Power_Plant_small6,#2980B9
ICCC_NG_EGYPT,#2980B9
ISCC_NG_EGYPT,#2980B9
OCGT_Kerosene_KEN,#2980B9
OCGT_LFO,#2980B9
OCGT_NG_EGYPT,#2980B9
OCGT_NG_LYBIA,#2980B9
OCGT_NG_SUDAN,#2980B9
OCGT_NG_TAN,#2980B9
OCGT_NG_UGANDA,#2980B9
PV_DRC_S_MSR1,#FFA52B
PV_DRC_S_MSR10,#FFA52B
PV_DRC_S_MSR11,#FFA52B
PV_DRC_S_MSR12,#FFA52B
PV_DRC_S_MSR13,#FFA52B
PV_DRC_S_MSR14,#FFA52B
PV_DRC_S_MSR15,#FFA52B
PV_DRC_S_MSR16,#FFA52B
PV_DRC_S_MSR17,#FFA52B
PV_DRC_S_MSR18,#FFA52B
PV_DRC_S_MSR19,#FFA52B
PV_DRC_S_MSR2,#FFA52B
PV_DRC_S_MSR20,#FFA52B
PV_DRC_S_MSR21,#FFA52B
PV_DRC_S_MSR22,#FFA52B
PV_DRC_S_MSR23,#FFA52B
PV_DRC_S_MSR24,#FFA52B
PV_DRC_S_MSR25,#FFA52B
PV_DRC_S_MSR26,#FFA52B
PV_DRC_S_MSR27,#FFA52B
PV_DRC_S_MSR28,#FFA52B
PV_DRC_S_MSR29,#FFA52B
PV_DRC_S_MSR3,#FFA52B
PV_DRC_S_MSR30,#FFA52B
PV_DRC_S_MSR31,#FFA52B
PV_DRC_S_MSR32,#FFA52B
PV_DRC_S_MSR33,#FFA52B
PV_DRC_S_MSR34,#FFA52B
PV_DRC_S_MSR35,#FFA52B
PV_DRC_S_MSR36,#FFA52B
