costs,locs,techs,cost_investment_rhs
co2,Rwanda,Bioenergy_Power_Plant,0.0
co2,Rwanda,Diesel_Engine_RWANDA,0.0
co2,Rwanda,Gas_Engine_RWANDA,0.0
co2,Rwanda,Hydro_Power_Plant_large1,0.0
co2,Rwanda,Hydro_Power_Plant_large2,0.0
co2,Rwanda,Hydro_Power_Plant_large3,0.0
co2,Rwanda,Hydro_Power_Plant_large4,0.0
co2,Rwanda,Hydro_Power_Plant_large5,0.0
co2,Rwanda,Hydro_Power_Plant_large6,0.0
co2,Rwanda,Hydro_Power_Plant_small1,0.0
co2,Rwanda,Hydro_Power_Plant_small2,0.0
co2,Rwanda,Hydro_Power_Plant_small3,0.0
co2,Rwanda,PV_Rwanda_MSR1,0.0
co2,Rwanda,Solar_PV1,0.0
co2,Rwanda,Solar_PV2,0.0
co2,Rwanda,Solar_PV3,0.0
co2,Rwanda,Solar_PV4,0.0
co2,Rwanda,Solar_PV5,0.0
co2,Rwanda,Solar_PV6,0.0
monetary,Rwanda,Bioenergy_Power_Plant,808208.2191780823
monetary,Rwanda,Diesel_Engine_RWANDA,1655723.8356164384
monetary,Rwanda,Gas_Engine_RWANDA,2694883.068493151
monetary,Rwanda,Hydro_Power_Plant_large1,1684602.7397260277
monetary,Rwanda,Hydro_Power_Plant_large2,4813150.684931507
monetary,Rwanda,Hydro_Power_Plant_large3,1940301.369863014
monetary,Rwanda,Hydro_Power_Plant_large4,15041095.890410962
monetary,Rwanda,Hydro_Power_Plant_large5,1804931.5068493153
monetary,Rwanda,Hydro_Power_Plant_large6,2197323.6164383567
monetary,Rwanda,Hydro_Power_Plant_small1,32589.041095890414
monetary,Rwanda,Hydro_Power_Plant_small2,169463.01369863015
monetary,Rwanda,Hydro_Power_Plant_small3,325890.41095890413
monetary,Rwanda,PV_Rwanda_MSR1,56256430.122964926
monetary,Rwanda,Solar_PV1,141486.57534246577
monetary,Rwanda,Solar_PV2,54930.08219178083
monetary,Rwanda,Solar_PV3,4161.3698630137
monetary,Rwanda,Solar_PV4,116518.35616438359
monetary,Rwanda,Solar_PV5,29961.863013698636
monetary,Rwanda,Solar_PV6,39949.15068493151
