locs,techs,energy_prod
Sudan,Bioenergy_Power_Plant,1.0
Sudan,CCGT_NG_SUDAN,1.0
Sudan,Diesel_Engine_SUDAN,1.0
Sudan,HFO_PP_SUDAN,1.0
Sudan,Hydro_Power_Plant_large1,1.0
Sudan,Hydro_Power_Plant_large2,1.0
Sudan,Hydro_Power_Plant_large3,1.0
Sudan,Hydro_Power_Plant_large4,1.0
Sudan,Hydro_Power_Plant_small1,1.0
Sudan,OCGT_NG_SUDAN,1.0
Sudan,PV_SUD_MSR1,1.0
Sudan,PV_SUD_MSR10,1.0
Sudan,PV_SUD_MSR11,1.0
Sudan,PV_SUD_MSR12,1.0
Sudan,PV_SUD_MSR13,1.0
Sudan,PV_SUD_MSR14,1.0
Sudan,PV_SUD_MSR15,1.0
Sudan,PV_SUD_MSR16,1.0
Sudan,PV_SUD_MSR17,1.0
Sudan,PV_SUD_MSR18,1.0
Sudan,PV_SUD_MSR19,1.0
Sudan,PV_SUD_MSR2,1.0
Sudan,PV_SUD_MSR20,1.0
Sudan,PV_SUD_MSR21,1.0
Sudan,PV_SUD_MSR22,1.0
Sudan,PV_SUD_MSR23,1.0
Sudan,PV_SUD_MSR24,1.0
Sudan,PV_SUD_MSR25,1.0
Sudan,PV_SUD_MSR26,1.0
Sudan,PV_SUD_MSR27,1.0
Sudan,PV_SUD_MSR28,1.0
Sudan,PV_SUD_MSR29,1.0
Sudan,PV_SUD_MSR3,1.0
Sudan,PV_SUD_MSR30,1.0
Sudan,PV_SUD_MSR4,1.0
Sudan,PV_SUD_MSR5,1.0
Sudan,PV_SUD_MSR6,1.0
Sudan,PV_SUD_MSR7,1.0
Sudan,PV_SUD_MSR8,1.0
Sudan,PV_SUD_MSR9,1.0
Sudan,Solar_PV1,1.0
Sudan,Solar_PV2,1.0
Sudan,Steam_turbine_NG_SUDAN,1.0
Sudan,Steam_turbine_petroleum_coke_SUDAN,1.0
